channel_id,train_time,train_cpu,train_mem,train_epochs,eval_loss,predict_time,predict_cpu,predict_mem,test_loss,detect_time,detect_cpu,detect_mem,n_anomalies,n_detected,true_positives,false_positives,false_negatives,precision,recall,f1
E-1,103.12416052818298,49.98982247081719,939897130.8326855,35,0.0002860042012697603,0.06684184074401855,40.3125,891957248.0,0.06692044,0.17099666595458984,26.51875,891957248.0,2,5,2,3,0,0.4,1.0,0.5714285714285715
E-2,71.24082279205322,49.97098591549292,935581805.6112673,17,0.00512668524040944,0.12557506561279297,49.0375,892059648.0,0.04049933,0.18608784675598145,16.03125,892059648.0,1,1,1,0,0,1.0,1.0,1.0
E-3,135.6191794872284,50.002671967455626,931300382.2958567,25,0.001291818218305707,0.17896413803100586,46.3625,892055552.0,0.010094851,0.1298990249633789,29.125,892055552.0,1,0,0,0,1,1.0,0.0,0.0
E-4,145.99568963050842,49.99434707903779,931402513.4185556,22,0.001506082943200858,0.2334744930267334,48.4125,892162048.0,0.027028844,0.18827080726623535,17.33125,892162048.0,1,5,1,2,0,0.3333333333333333,1.0,0.5
E-5,278.3060534000397,50.0184096646232,930136744.9433837,35,0.0006966307717246107,0.28990864753723145,49.458333333333336,891777024.0,0.15740071,0.05834603309631348,47.1625,891777024.0,1,0,0,0,1,1.0,0.0,0.0
E-6,320.51294469833374,50.017654195366234,942174024.6161561,35,1.9172293453569487e-06,0.3519558906555176,49.33749999999999,892186624.0,0.018982848,0.20998287200927734,19.02916666666667,892186624.0,1,1,1,0,0,1.0,1.0,1.0
E-7,293.971342086792,50.01393820416523,931414488.6691698,29,0.0008682460902491584,0.402782678604126,50.045,887640064.0,0.024721144,0.2114555835723877,10.733333333333333,887640064.0,1,1,1,0,0,1.0,1.0,1.0
E-8,212.19263553619385,50.00813238770695,934838386.261939,18,0.002087046237041553,0.46698522567749023,49.53999999999999,830685184.0,0.03397941,0.17041707038879395,26.025,830685184.0,1,1,1,0,0,1.0,1.0,1.0
E-9,142.90451526641846,49.989747191011205,1021497456.1797755,13,0.004969175775638885,0.511620044708252,49.62708333333333,815796224.0,0.030369151,0.137221097946167,11.7375,815796224.0,1,0,0,0,1,1.0,0.0,0.0
E-10,192.6894657611847,50.01229807191241,1062240552.6878577,17,0.005580759941949509,0.6062638759613037,49.81249999999999,811069440.0,0.095938504,0.26736903190612793,11.158333333333333,811069440.0,2,4,2,2,0,0.5,1.0,0.6666666666666666
E-11,344.0336148738861,50.02152028012838,1034249740.99796,27,0.0014167696127616283,0.6445810794830322,49.78928571428572,811343872.0,0.072098225,0.22016096115112305,17.7875,811343872.0,2,2,2,0,0,1.0,1.0,1.0
E-12,421.1594145298004,50.0081138259834,1004715327.0388559,30,0.00026087515814449743,0.7112348079681396,49.8296875,672219136.0,0.05776476,0.19252300262451172,11.7625,672219136.0,2,7,2,4,0,0.3333333333333333,1.0,0.5
E-13,289.8754322528839,49.9632574445983,875768952.5540165,18,0.01994355084995429,0.7843685150146484,49.6515625,639025152.0,0.039116558,0.17020225524902344,29.143749999999997,639025152.0,3,5,1,4,2,0.2,0.3333333333333333,0.25
