channel_id,train_time,train_cpu,train_mem,train_epochs,eval_loss,predict_time,predict_cpu,predict_mem,test_loss,detect_time,detect_cpu,detect_mem,n_anomalies,n_detected,true_positives,false_positives,false_negatives,precision,recall,f1
T-13,36.74646520614624,49.89836512261579,845366442.2016352,15,0.0006938537311119338,0.07505393028259277,38.6375,807952384.0,0.011956879,0.004738569259643555,44.4625,807952384.0,2,1,0,1,2,0.0,0.0,0.0
T-9,6.958097457885742,49.317321428571425,840953153.8285713,11,0.012509052641689777,0.04559826850891113,36.125,808112128.0,0.17694183,0.0009789466857910156,28.3125,808112128.0,2,0,0,0,2,1.0,0.0,0.0
T-8,11.399606466293335,49.596600877192984,846447705.824561,6,0.0009850641363300383,0.07484745979309082,43.75,772747264.0,0.066457495,0.0019054412841796875,43.0625,772747264.0,2,0,0,0,2,1.0,0.0,0.0
C-1,79.87141585350037,49.975141331658286,819431120.4020101,35,0.0015234265689893316,0.02039480209350586,46.35,772804608.0,0.014250423,0.005343198776245117,18.4375,772804608.0,2,1,1,0,1,1.0,0.5,0.6666666666666666
C-2,4.510013580322266,48.912499999999994,814161009.7777779,5,0.0011030368623323739,0.034552812576293945,49.3375,772845568.0,0.45415443,0.0047190189361572266,24.5625,772845568.0,2,0,0,0,2,1.0,0.0,0.0
D-14,142.68721079826355,49.99480485232061,820072926.1547108,35,4.176904704939426e-08,0.026016950607299805,40.2,773046272.0,0.3185519,0.03702402114868164,19.6125,773177344.0,2,1,1,0,1,1.0,0.5,0.6666666666666666
D-15,61.88197612762451,49.954153160453764,815542988.9659643,20,0.0975146194299062,0.04401063919067383,44.775,773423104.0,0.16485459,0.001226663589477539,28.3625,773423104.0,1,0,0,0,1,1.0,0.0,0.0
D-16,21.41992688179016,49.798072429906526,813216184.2242987,8,0.22229502722620964,0.0527958869934082,42.9,773656576.0,0.26428017,0.0015902519226074219,33.2625,773656576.0,1,0,0,0,1,1.0,0.0,0.0
M-6,54.769946336746216,49.94924450549448,820418755.0476192,35,3.2661213538176527e-07,0.02236008644104004,43.3,773795840.0,1795.3044,0.004079580307006836,17.2375,773795840.0,1,1,1,0,0,1.0,1.0,1.0
M-1,116.20253992080688,49.98929188255618,815963576.373057,35,0.02563876166407551,0.03891801834106445,48.075,774074368.0,0.046988234,0.007911920547485352,25.825,774074368.0,1,1,0,1,1,0.0,0.0,0.0
M-2,51.769840240478516,49.91807170542635,812911679.5038756,12,0.009416956454515457,0.0571901798248291,47.9625,773926912.0,0.14567667,0.0017893314361572266,33.3375,773926912.0,1,1,1,0,0,1.0,1.0,1.0
M-3,120.23445296287537,49.99150667779635,823613081.0016685,25,0.020104690493705373,0.0678093433380127,49.7125,773869568.0,0.02473426,0.0023856163024902344,39.3625,773869568.0,1,0,0,0,1,1.0,0.0,0.0
M-4,165.52262711524963,49.99965151515159,844043431.5636368,28,0.024781549194206793,0.0819997787475586,44.9875,811364352.0,0.04769118,0.0011534690856933594,48.0375,811364352.0,1,0,0,0,1,1.0,0.0,0.0
M-5,126.64678192138672,49.97927892234548,854408651.2583216,19,0.02132489640886585,0.10961246490478516,49.48125,820125696.0,0.037922274,0.007830619812011719,11.1,820125696.0,1,1,1,0,0,1.0,1.0,1.0
M-7,131.06009006500244,49.959973200612474,868418897.1516092,23,0.012261347391176968,0.11833810806274414,48.06875,832688128.0,0.08716382,0.011527538299560547,16.025,832688128.0,1,1,1,0,0,1.0,1.0,1.0
F-7,84.17141819000244,49.9791716328963,879175750.7890348,32,0.1470957389101386,0.04177546501159668,40.6875,832290816.0,0.18487501,0.09047508239746094,28.2125,832290816.0,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
F-4,91.03941464424133,49.98675660792949,874681217.6916308,27,0.004814701262928013,0.05526924133300781,39.1625,832253952.0,0.012041203,0.07297182083129883,33.3,832253952.0,1,1,0,1,1,0.0,0.0,0.0
F-5,123.88283824920654,49.99733805668015,872369356.8,24,0.0032069594599306583,0.09351611137390137,44.3,832528384.0,0.22840847,0.04382133483886719,48.0625,832528384.0,1,1,1,0,0,1.0,1.0,1.0
F-8,101.02844524383545,49.9889150943396,871172756.9731878,12,0.09282093327492476,0.07784676551818848,47.575,832602112.0,0.08560664,0.008961200714111328,44.3625,832602112.0,1,1,1,0,0,1.0,1.0,1.0
S-2,6.383004426956177,49.342382812500006,875865472.0000001,8,4.859323841325628e-05,0.01658463478088379,39.7125,832380928.0,0.022034995,0.004935741424560547,14.7875,832380928.0,1,1,1,0,0,1.0,1.0,1.0
P-10,57.822306632995605,49.95368284228772,879876986.8977476,12,1.927259684355074e-06,0.05046510696411133,39.6,832851968.0,0.64348096,0.10711169242858887,22.25625,832851968.0,1,1,1,0,0,1.0,1.0,1.0
P-15,104.26355242729187,49.98342155919152,875575487.1992291,18,0.00103372424332933,0.0475611686706543,49.1125,833175552.0,1.775937,0.01621413230895996,30.6125,833175552.0,1,0,0,0,1,1.0,0.0,0.0
P-14,202.63898396492004,50.005312035661206,872247170.2189208,35,1.0654822638992793e-07,0.14287304878234863,50.275000000000006,830291968.0,0.6258518,0.1119236946105957,19.8,830291968.0,1,1,1,0,0,1.0,1.0,1.0
P-11,131.4745855331421,49.99378816793885,868600993.025954,13,0.00385285613204663,0.11960911750793457,49.65,830361600.0,0.010793941,0.061637163162231445,16.05,830361600.0,2,2,2,0,0,1.0,1.0,1.0
